"","X","Title","Author","Subject","Abstract","Meta"
"114",114,"python fuzzing for trustworthy machine learning frameworks","ilya yegorov, eli kobrin, darya parygina, alexey vishnyakov, andrey fedotov","cryptography and security (cs.cr)","ensuring the security and reliability of machine learning frameworks is crucial for building trustworthy ai-based systems. fuzzing, a popular technique in secure software development lifecycle (ssdlc), can be used to develop secure and robust software. popular machine learning frameworks such as pytorch and tensorflow are complex and written in multiple programming languages including c/c++ and python. we propose a dynamic analysis pipeline for python projects using the sydr-fuzz toolset. our pipeline includes fuzzing, corpus minimization, crash triaging, and coverage collection. crash triaging and severity estimation are important steps to ensure that the most critical vulnerabilities are addressed promptly. furthermore, the proposed pipeline is integrated in gitlab ci. to identify the most vulnerable parts of the machine learning frameworks, we analyze their potential attack surfaces and develop fuzz targets for pytorch, tensorflow, and related projects such as hpy. applying our dynamic analysis pipeline to these targets, we were able to discover  new bugs and propose fixes for them.",2024-03-19
"115",115,"bayesian uncertainty evaluation applied to the tilted-wave interferometer","manuel marschall, ines fortmeier, manuel stavridis, finn hughes, clemens elster","optics (physics.optics)","the tilted-wave interferometer is a promising technique for the development of a reference measurement system for the highly accurate form measurement of aspheres and freeform surfaces. the technique combines interferometric measurements, acquired with a special setup, and sophisticated mathematical evaluation procedures. to determine the form of the surface under test, a computational model is required that closely mimics the measurement process of the physical measurement instruments. the parameters of the computational model, comprising the surface under test sought, are then tuned by solving an inverse problem. due to this embedded structure of the real experiment and computational model and the overall complexity, a thorough uncertainty evaluation is challenging. in this work, a bayesian approach is proposed to tackle the inverse problem, based on a statistical model derived from the computational model of the tilted-wave interferometer. such a procedure naturally allows for uncertainty quantification to be made. we present an approximate inference scheme to efficiently sample quantities of the posterior using monte carlo sampling involving the statistical model. in particular, the methodology derived is applied to the tilted-wave interferometer to obtain an estimate and corresponding uncertainty of the pixel-by-pixel form of the surface under test for two typical surfaces taking into account a number of key influencing factors. a statistical analysis using experimental design is employed to identify main influencing factors and a subsequent analysis confirms the efficacy of the method derived.",2024-03-19
"116",116,"system support for environmentally sustainable computing in data centers","fan chen","hardware architecture (cs.ar)","modern data centers suffer from a growing carbon footprint due to insufficient support for environmental sustainability. while hardware accelerators and renewable energy have been utilized to enhance sustainability, addressing quality of service (qos) degradation caused by renewable energy supply and hardware recycling remains challenging: () prior accelerators exhibit significant carbon footprints due to limited reconfigurability and inability to adapt to renewable energy fluctuations; () integrating recycled nand flash chips in data centers poses challenges due to their short lifetime, increasing energy consumption; () the absence of a sustainability estimator impedes data centers and users in evaluating and improving their environmental impact. this study aims to improve system support for environmentally sustainable data centers by proposing a reconfigurable hardware accelerator for intensive computing primitives and developing a fractional nand flash cell to extend the lifetime of recycled flash chips while supporting graceful capacity degradation. we also introduce a sustainability estimator to evaluate user task energy consumption and promote sustainable practices. we present our preliminary results and recognize this as an ongoing initiative with significant potential to advance environmentally sustainable computing in data centers and stimulate further exploration in this critical research domain.",2024-03-19
"117",117,"as firm as their foundations: can open-sourced foundation models be used to create adversarial examples for downstream tasks?","anjun hu, jindong gu, francesco pinto, konstantinos kamnitsas, philip torr","computer vision and pattern recognition (cs.cv)","foundation models pre-trained on web-scale vision-language data, such as clip, are widely used as cornerstones of powerful machine learning systems. while pre-training offers clear advantages for downstream learning, it also endows downstream models with shared adversarial vulnerabilities that can be easily identified through the open-sourced foundation model. in this work, we expose such vulnerabilities in clip's downstream models and show that foundation models can serve as a basis for attacking their downstream systems. in particular, we propose a simple yet effective adversarial attack strategy termed patch representation misalignment (prm). solely based on open-sourced clip vision encoders, this method produces adversaries that simultaneously fool more than  downstream models spanning  common vision-language tasks (semantic segmentation, object detection, image captioning and visual question-answering). our findings highlight the concerning safety risks introduced by the extensive usage of public foundational models in the development of downstream systems, calling for extra caution in these scenarios.",2024-03-19
"118",118,"in-hand following of deformable linear objects using dexterous fingers with tactile sensing","mingrui yu, boyuan liang, xiang zhang, xinghao zhu, xiang li, masayoshi tomizuka","robotics (cs.ro)","most research on deformable linear object (dlo) manipulation assumes rigid grasping. however, beyond rigid grasping and re-grasping, in-hand following is also an essential skill that humans use to dexterously manipulate dlos, which requires continuously changing the grasp point by in-hand sliding while holding the dlo to prevent it from falling. achieving such a skill is very challenging for robots without using specially designed but not versatile end-effectors. previous works have attempted using generic parallel grippers, but their robustness is unsatisfactory owing to the conflict between following and holding, which is hard to balance with a one-degree-of-freedom gripper. in this work, inspired by how humans use fingers to follow dlos, we explore the usage of a generic dexterous hand with tactile sensing to imitate human skills and achieve robust in-hand dlo following. to enable the hardware system to function in the real world, we develop a framework that includes cartesian-space arm-hand control, tactile-based in-hand -d dlo pose estimation, and task-specific motion design. experimental results demonstrate the significant superiority of our method over using parallel grippers, as well as its great robustness, generalizability, and efficiency.",2024-03-19
"119",119,"diffusion, viscosity and linear rheology of valence-limited disordered fluids","samuel s. gomez, lorenzo rovigatti","soft condensed matter (cond-mat.soft)","we numerically investigate the dynamics and linear rheology of disordered systems made of patchy particles, focussing on the role of valence, temperature and bonding mechanism. we demonstrate that the dynamics is enslaved to bonding, giving rise to an activated behaviour at low temperature. by independently computing the diffusion constant and the viscosity from the simulations, we also confirm the validity of the stokes-einstein relation in valence-limited systems, with two caveats: (i) the diffusion constant requires a finite-size correction, at least at the intermediate density we investigate, and (ii) there is the onset of a breakdown that appears at the lowest temperatures considered. finally, our results show that the storage and loss moduli of mixtures of divalent and $m$-valent particles exhibit an apparent power-law dependence on frequency, hinting at the possibility of using the composition to finely tune the rheological response of these materials. our results compare well with literature experimental data on valence-limited dna nanostars. in addition, the wealth of data we present and analyse here will help to develop and test theoretical frameworks aimed at describing the dynamics of flexible limited-valence particles that self-assemble into disordered networks.",2024-03-19
"120",120,"existence, uniqueness and characterisation of local minimisers in higher order calculus of variations in $\mathrm l^{\infty}$","nikos katzourakis, roger moser","analysis of pdes (math.ap)","we study variational problems for second order supremal functionals $\mathrm f_\infty(u)= \|f(\cdot,u,\mathrm d u,\mathrm{a}\!:\!\mathrm d^u)\|_{\mathrm l^{\infty}(\omega)}$, where $f$ satisfies certain natural assumptions, $\mathrm a$ is a positive matrix, and $\omega \subset \mathbb r^n$. higher order problems are very novel in the calculus of variations in $\mathrm l^{\infty}$, and exhibit a strikingly different behaviour compared to first order problems, for which there exists an established theory, pioneered by aronsson in s. the aim of this paper is to develop a complete theory for $\mathrm f_\infty$. we prove that, under appropriate conditions, ``localised"" minimisers can be characterised as solutions to a nonlinear system of pdes, which is different from the corresponding aronsson equation for $\mathrm f_\infty$; the latter is only a necessary, but not a sufficient condition for minimality. we also establish the existence and uniqueness of localised minimisers subject to dirichlet conditions on $\partial \omega$, and also their partial regularity outside a singular set of codimension one, which may be non-empty even if $n=$.",2024-03-19
"121",121,"near-field channel estimation in dual-band xl-mimo with side information-assisted compressed sensing","haochen wu, liyang lu, zhaocheng wang","signal processing (eess.sp)","near-field communication comes to be an indispensable part of the future sixth generation (g) communications at the arrival of the forth-coming deployment of extremely large-scale multiple-input-multiple-output (xl-mimo) systems. due to the substantial number of antennas, the electromagnetic radiation field is modeled by the spherical waves instead of the conventional planar waves, leading to severe weak sparsity to angular-domain near-field channel. therefore, the channel estimation reminiscent of the conventional compression sensing (cs) approaches in the angular domain, judiciously utilized for low pilot overhead, may result in unprecedented challenges. to this end, this paper proposes a brand-new near-field channel estimation scheme by exploiting the naturally occurring useful side information. specifically, we formulate the dual-band near-field communication model based on the fact that high-frequency systems are likely to be deployed with lower-frequency systems. representative side information, i.e., the structural characteristic information derived by the sparsity ambiguity and the out-of-band spatial information stemming from the lower-frequency channel, is explored and tailored to materialize exceptional near-field channel estimation. furthermore, in-depth theoretical analyses are developed to guarantee the minimum estimation error, based on which a suite of algorithms leveraging the elaborating side information are proposed. numerical simulations demonstrate that the designed algorithms provide more assured results than the off-the-shelf approaches in the context of the dual-band near-field communications in both on- and off-grid scenarios, where the angle of departures/arrivals are discretely or continuously distributed, respectively.",2024-03-19
"122",122,"a benchmark for data management challenges in microservices","rodrigo laigner, zhexiang zhang, yijian liu, leonardo freitas gomes, yongluan zhou","databases (cs.db)","microservice architectures emerged as a popular architecture for designing scalable distributed applications. although microservices have been extensively employed in industry settings for over a decade, there is little understanding of the data management challenges that arise in these applications. as a result, it is difficult to advance data system technologies for supporting microservice applications. to fill this gap, we present online marketplace, a microservice benchmark that incorporates core data management challenges that existing benchmarks have not sufficiently addressed. these challenges include transaction processing, query processing, event processing, constraint enforcement, and data replication. we have defined criteria for various data management issues to enable proper comparison across data systems and platforms.
after specifying the benchmark, we present the challenges we faced in creating workloads that accurately reflect the dynamic state of the microservices. we also discuss implementation issues that we encountered when developing online marketplace in state-of-the-art data platforms, which prevented us from meeting the specified data management requirements and criteria. our evaluation demonstrates that the benchmark is a valuable tool for testing important properties sought by microservice practitioners. as a result, our proposed benchmark will facilitate the design of future data systems to meet the expectations of microservice practitioners.",2024-03-19
"123",123,"integrated distributed sensing and quantum communication networks","yuehan xu, tao wang, peng huang, guihua zeng","quantum physics (quant-ph)","the integration of sensing and communication can achieve ubiquitous sensing while enabling ubiquitous communication. within the gradually improving global communication, the integrated sensing and communication (isac) system based on optical fibers can accomplish various functionalities, such as urban structure imaging, seismic wave detection, and pipeline safety monitoring. with the development of quantum communication, quantum networks based on optical fiber are gradually being established. in this paper, we propose an integrated sensing and quantum network (isaqn) scheme, which can achieve secure key distribution among multiple nodes and distributed sensing under the standard quantum limit. cv-qkd protocol and the round-trip multi-band structure are adopted to achieve the multi-node secure key distribution. meanwhile, the spectrum phase monitoring (spm) protocol is proposed to realize distributed sensing. it determines which node is vibrating by monitoring the frequency spectrum and restores the vibration waveform by monitoring the phase change. the scheme is experimentally demonstrated by simulating the vibration in a star structure network. experimental results indicate that this multi-user quantum network can achieve a secret key rate (skr) of approximately . $\rm{mbits/s}$ for each user under  $\rm{km}$ standard fiber transmission and its network capacity is . in terms of distributed sensing, it can achieve a vibration response bandwidth ranging from  $\rm{hz}$ to  $\rm{khz}$, a strain resolution of . $\rm{n}$$\varepsilon$$/\sqrt{\rm{hz}}$, and a spatial resolution of . $\rm{m}$ under shot-noise-limited detection. the proposed isaqn scheme enables simultaneous quantum communication and distributed sensing in a multi-point network, laying a foundation for future large-scale quantum networks and high-precision sensing networks.",2024-03-19
"124",124,"preventing eviction-caused homelessness through ml-informed distribution of rental assistance","catalina vajiac, arun frey, joachim baumann, abigail smith, kasun amarasinghe, alice lai, kit rodolfa, rayid ghani","computers and society (cs.cy)","rental assistance programs provide individuals with financial assistance to prevent housing instabilities caused by evictions and avert homelessness. since these programs operate under resource constraints, they must decide who to prioritize. typically, funding is distributed by a reactive or first-come-first serve allocation process that does not systematically consider risk of future homelessness. we partnered with allegheny county, pa to explore a proactive allocation approach that prioritizes individuals facing eviction based on their risk of future homelessness. our ml system that uses state and county administrative data to accurately identify individuals in need of support outperforms simpler prioritization approaches by at least % while being fair and equitable across race and gender. furthermore, our approach would identify % of individuals who are overlooked by the current process and end up homeless. beyond improvements to the rental assistance program in allegheny county, this study can inform the development of evidence-based decision support tools in similar contexts, including lessons about data needs, model design, evaluation, and field validation.",2024-03-19
"125",125,"attitude tracking of uncertain flexible spacecraft systems subject to unknown external disturbances","zean bao, maobin lu, fang deng, jie chen","optimization and control (math.oc)","in this paper, we investigate the attitude tracking problem of uncertain flexible spacecraft systems subject to external disturbances. in sharp contrast to existing results, the dynamics of flexible spacecraft systems and external disturbances are allowed to be unknown. to deal with the challenges by these unknown factors, we develop a class of nonlinear internal models which converts the attitude tracking problem of uncertain flexible spacecraft systems into a regulation problem of an augmented system. furthermore, to overcome the difficulties caused by the unmeasurable modal variable, the uncertainty introduced by the internal model, and the cross-coupling of the uncertainties with the system state, we design an auxiliary dynamic system for auxiliary stabilization, a dynamic compensator for dynamic compensation, and a linearly parameterized transformation for adaptive regulation in sequence. by introducing a series of coordinate and input transformations, we propose an adaptive dynamic control law to achieve regulation of the augmented system and thus leading to the solution to the attitude tracking problem. in addition, we analyze the convergence issue of the estimated parameter to its true value by the persistently exciting condition. finally, the effec tiveness of the developed approach is verified by its application to the attitude manoeuvre of a flexible spacecraft system in the presence of external disturbances.",2024-03-19
"126",126,"multi-view active sensing for human-robot interaction via hierarchically connected tree","yuanjiong ying, xian huang, wei dong","robotics (cs.ro)","comprehensive perception of human beings is the prerequisite to ensure the safety of human-robot interaction. currently, prevailing visual sensing approach typically involves a single static camera, resulting in a restricted and occluded field of view. in our work, we develop an active vision system using multiple cameras to dynamically capture multi-source rgb-d data. an integrated human sensing strategy based on a hierarchically connected tree structure is proposed to fuse localized visual information. constituting the tree model are the nodes representing keypoints and the edges representing keyparts, which are consistently interconnected to preserve the structural constraints during multi-source fusion. utilizing rgb-d data and hrnet, the d positions of keypoints are analytically estimated, and their presence is inferred through a sliding widow of confidence scores. subsequently, the point clouds of reliable keyparts are extracted by drawing occlusion-resistant masks, enabling fine registration between data clouds and cylindrical model following the hierarchical order. experimental results demonstrate that our method enhances keypart recognition recall from .% to .%, compared to employing a single static camera. furthermore, in overcoming challenges related to localized and occluded perception, the robotic arm's obstacle avoidance capabilities are effectively improved.",2024-03-19
"127",127,"high-fidelity slam using gaussian splatting with rendering-guided densification and regularized optimization","shuo sun, malcolm mielle, achim j. lilienthal, martin magnusson","robotics (cs.ro)","we propose a dense rgbd slam system based on d gaussian splatting that provides metrically accurate pose tracking and visually realistic reconstruction. to this end, we first propose a gaussian densification strategy based on the rendering loss to map unobserved areas and refine reobserved areas. second, we introduce extra regularization parameters to alleviate the forgetting problem in the continuous mapping problem, where parameters tend to overfit the latest frame and result in decreasing rendering quality for previous frames. both mapping and tracking are performed with gaussian parameters by minimizing re-rendering loss in a differentiable way. compared to recent neural and concurrently developed gaussian splatting rgbd slam baselines, our method achieves state-of-the-art results on the synthetic dataset replica and competitive results on the real-world dataset tum.",2024-03-19
"128",128,"multi-mode fault diagnosis datasets of gearbox under variable working conditions","shijin chen, zeyi liu, xiao he, dongliang zou, donghua zhou","systems and control (eess.sy)","the gearbox is a critical component of electromechanical systems. the occurrence of multiple faults can significantly impact system accuracy and service life. the vibration signal of the gearbox is an effective indicator of its operational status and fault information. however, gearboxes in real industrial settings often operate under variable working conditions, such as varying speeds and loads. it is a significant and challenging research area to complete the gearbox fault diagnosis procedure under varying operating conditions using vibration signals. this data article presents vibration datasets collected from a gearbox exhibiting various fault degrees of severity and fault types, operating under diverse speed and load conditions. these faults are manually implanted into the gears or bearings through precise machining processes, which include health, missing teeth, wear, pitting, root cracks, and broken teeth. several kinds of actual compound faults are also encompassed. the development of these datasets facilitates testing the effectiveness and reliability of newly developed fault diagnosis methods.",2024-03-19
"129",129,"solving vibrational hamiltonians with neural canonical transformations","qi zhang, rui-si wang, lei wang","chemical physics (physics.chem-ph)","the behavior of polyatomic molecules around their equilibrium positions can be regarded as quantum coupled anharmonic oscillators. solving the corresponding schrödinger equations can interpret or predict experimental spectra of molecules. in this study, we develop a novel approach to solve excited states of anharmonic vibrational systems. the normal coordinates of molecules are transformed into new coordinates through a normalizing flow parameterized by a neural network, facilitating the construction of a set of orthogonal many-body variational wavefunctions. our methodology has been validated on an exactly solvable $$-dimensional coupled harmonic oscillator, yielding numerical results with a relative error on the order of $^{-}$. furthermore, the neural canonical transformations are also applied to calculate the energy levels of two specific molecules, acetonitrile ($\text{c}\text{h}_\text{cn}$) and ethylene oxide ($\text{c}_\text{h}_\text{o}$) involving $$ and $$ vibrational modes respectively, which are in agreement with experimental findings. one of the key advantages of our approach is its flexibility concerning the potential energy surface, requiring no specific form for its application. moreover, this method can be easily implemented on large-scale distributed computing platforms, making it particularly suitable for investigating more complex vibrational structures.",2024-03-19
"130",130,"topological representations of heterogeneous learning dynamics of recurrent spiking neural networks","biswadeep chakraborty, saibal mukhopadhyay","neural and evolutionary computing (cs.ne)","spiking neural networks (snns) have become an essential paradigm in neuroscience and artificial intelligence, providing brain-inspired computation. recent advances in literature have studied the network representations of deep neural networks. however, there has been little work that studies representations learned by snns, especially using unsupervised local learning methods like spike-timing dependent plasticity (stdp). recent work by \cite{barannikovrepresentation} has introduced a novel method to compare topological mappings of learned representations called representation topology divergence (rtd). though useful, this method is engineered particularly for feedforward deep neural networks and cannot be used for recurrent networks like recurrent snns (rsnns). this paper introduces a novel methodology to use rtd to measure the difference between distributed representations of rsnn models with different learning methods. we propose a novel reformulation of rsnns using feedforward autoencoder networks with skip connections to help us compute the rtd for recurrent networks. thus, we investigate the learning capabilities of rsnn trained using stdp and the role of heterogeneity in the synaptic dynamics in learning such representations. we demonstrate that heterogeneous stdp in rsnns yield distinct representations than their homogeneous and surrogate gradient-based supervised learning counterparts. our results provide insights into the potential of heterogeneous snn models, aiding the development of more efficient and biologically plausible hybrid artificial intelligence systems.",2024-03-19
"131",131,"development of low-radon ultra-pure water for the jiangmen underground neutrino observatory","t.y. guan, y.p. zhang, b. wang, c. guo, j.c. liu, q. tang, c.g. yang, c. li","instrumentation and detectors (physics.ins-det)","the jiangmen underground neutrino observatory(juno) is a state-of-the-art liquid scintillator-based neutrino physics experiment under construction in south china. to reduce the background from external radioactivities, a water cherenkov detector composed of ~kton ultra-pure water and , -inch photomultiplier tubes is developed. even after specialized treatment, ultra-pure water still contains trace levels of radioactive elements that can contribute to the detector background. among which $^{}$rn is particularly significant. to address this, an online radon removal system based on the juno prototype has been developed. by integrating micro-bubble generators to enhance degasser's radon removal efficiency, the radon concentration in water can be reduced to ~mbq/m$^{}$ level, meeting the stringent requirements of juno. additionally, a highly sensitive online radon concentration measurement system capable of detecting concentrations $\sim$~mbq/m$^$ has been developed to monitor the radon concentration in water. in this paper, the details regarding both systems will be presented.",2024-03-19
"132",132,"third-party language model performance prediction from instruction","rahul nadkarni, yizhong wang, noah a. smith","computation and language (cs.cl)","language model-based instruction-following systems have lately shown increasing performance on many benchmark tasks, demonstrating the capability of adapting to a broad variety of instructions. however, such systems are often not designed to be transparent about their limitations; a user may easily prompt a model with an instruction without any idea of whether the responses should be expected to be accurate, or if the system is even capable of performing the task. we propose a third party performance prediction framework, where a separate model is trained to predict the metric resulting from evaluating an instruction-following system on a task while assuming access only to its inputs and outputs at inference time. we perform this analysis with a variety of both open and closed instruction-following models as well as multiple performance predictors, and examine the effect of various factors such as model size, number of training tasks, and prompt format. our findings indicate that third-party performance prediction is very challenging, and much work remains in developing predictors that can automatically reveal the limitations of modern instruction-following natural language processing systems.",2024-03-19
"133",133,"programmablegrass: a shape-changing artificial grass display adapted for dynamic and interactive display features","kojiro tanaka, akito mizuno, toranosuke kato, masahiko mikawa, makoto fujisawa","graphics (cs.gr)","there are various proposals for employing grass materials as a green landscape-friendly display. however, it is difficult for current techniques to display smooth animations using -bit images and to adjust display resolution, similar to conventional displays. we present programmablegrass, an artificial grass display with scalable resolution, capable of swiftly controlling grass color at -bit levels. this grass display can control grass colors linearly at the -bit level, similar to an lcd display, and can also display not only -bit-based images but also videos. this display enables pixel-by-pixel color transitions from yellow to green using fixed-length yellow and adjustable-length green grass. we designed a grass module that can be connected to other modules. utilizing a proportional derivative control, the grass colors are manipulated to display animations at approximately  [fps]. since the relationship between grass lengths and colors is nonlinear, we developed a calibration system for programmablegrass. we revealed that this calibration system allows programmablegrass to linearly control grass colors at -bit levels through experiments under multiple conditions. lastly, we demonstrate programmablegrass to show smooth animations with -bit grayscale images. moreover, we show several application examples to illustrate the potential of programmablegrass. with the advancement of this technology, users will be able to treat grass as a green-based interactive display device.",2024-03-19
"134",134,"characteristic ai agents via large language models","xi wang, hongliang dai, shen gao, piji li","computation and language (cs.cl)","the advancement of large language models (llms) has led to significant enhancements in the performance of chatbot systems. many researchers have dedicated their efforts to the development of bringing characteristics to chatbots. while there have been commercial products for developing role-driven chatbots using llms, it is worth noting that academic research in this area remains relatively scarce. our research focuses on investigating the performance of llms in constructing characteristic ai agents by simulating real-life individuals across different settings. current investigations have primarily focused on act on roles with simple profiles. in response to this research gap, we create a benchmark for the characteristic ai agents task, including dataset, techniques, and evaluation metrics. a dataset called ``character'' is built for this benchmark, comprising the most-visited people on wikipedia for language models to role-play. with the constructed dataset, we conduct comprehensive assessment of llms across various settings. in addition, we devise a set of automatic metrics for quantitative performance evaluation. the experimental results underscore the potential directions for further improvement in the capabilities of llms in constructing characteristic ai agents. the benchmark is available at this https url.",2024-03-19
"135",135,"tangent space generators of matrix product states and exact floquet quantum scars","marko ljubotina, elena petrova, norbert schuch, maksym serbyn","quantum physics (quant-ph)","the advancement of quantum simulators motivates the development of a theoretical framework to assist with efficient state preparation in quantum many-body systems. generally, preparing a target entangled state via unitary evolution with time-dependent couplings is a challenging task and very little is known about the existence of solutions and their properties. in this work we develop a constructive approach for preparing matrix product states (mps) via continuous unitary evolution. we provide an explicit construction of the operator which exactly implements the evolution of a given mps along a specified direction in its tangent space. this operator can be written as a sum of local terms of finite range, yet it is in general non-hermitian. relying on the explicit construction of the non-hermitian generator of the dynamics, we demonstrate the existence of a hermitian sequence of operators that implements the desired mps evolution with the error which decreases exponentially with the operator range. the construction is benchmarked on an explicit periodic trajectory in a translationally invariant mps manifold. we demonstrate that the floquet unitary generating the dynamics over one period of the trajectory features an approximate mps-like eigenstate embedded among a sea of thermalizing eigenstates. these results show that our construction is useful not only for state preparation and control of many-body systems, but also provides a generic route towards floquet scars -- periodically driven models with quasi-local generators of dynamics that have exact mps eigenstates in their spectrum.",2024-03-18
"136",136,"quantifying the efficiency of principal signal transmission modes in proteins","anil kumar sahoo, richard schwarzl, markus s. miettinen, roland r. netz","soft condensed matter (cond-mat.soft)","on the microscopic level, biological signal transmission relies on coordinated structural changes in allosteric proteins that involve sensor and effector modules. the timescales and microscopic details of signal transmission in proteins are often unclear, despite a plethora of structural information on signaling proteins. based on linear-response theory, we develop a theoretical framework to define frequency-dependent force and displacement transmit functions through proteins and, more generally, viscoelastic media. transmit functions quantify the fraction of a local time-dependent perturbation at one site, be it a deformation, a force, or a combination thereof, that survives at a second site. they are defined in terms of equilibrium fluctuations from simulations or experimental observations. we apply the framework to our all-atom molecular dynamics simulation data of a parallel, homodimeric coiled-coil (cc) motif that connects sensor and effector modules of a blue-light-regulated histidine kinase from bacterial signaling systems extensively studied in experiments. our analysis reveals that signal transmission through the cc is possible via shift, splay, and twist deformation modes. based on the results of mutation experiments, we infer that the most relevant mode for the biological function of the histidine kinase protein is the splay deformation.",2024-03-18
"137",137,"bayesian analysis of verbal autopsy data using factor models with age- and sex-dependent associations between symptoms","tsuyoshi kunihama, zehang richard li, samuel j. clark, tyler h. mccormick","applications (stat.ap)","verbal autopsies (vas) are extensively used to investigate the population-level distributions of deaths by cause in low-resource settings without well-organized vital statistics systems. computer-based methods are often adopted to assign causes of death to deceased individuals based on the interview responses of their family members or caregivers. in this article, we develop a new bayesian approach that extracts information about cause-of-death distributions from va data considering the age- and sex-related variation in the associations between symptoms. its performance is compared with that of existing approaches using gold-standard data from the population health metrics research consortium. in addition, we compute the relevance of predictors to causes of death based on information-theoretic measures.",2024-03-18
"138",138,"mesoscale molecular simulations of fabry-pérot vibrational strong coupling","tao e. li","chemical physics (physics.chem-ph)","developing theoretical frameworks for vibrational strong coupling (vsc) beyond the single-mode approximation is crucial for a comprehensive understanding of experiments with planar fabry-pérot cavities. herein, a generalized cavity molecular dynamics (cavmd) scheme is developed to simulate vsc of a large ensemble of realistic molecules coupled to an arbitrary d or d photonic environment. this approach is built upon the power-zienau-woolley hamiltonian in the normal mode basis and uses a grid representation of the molecular ensembles to reduce the computational cost. when simulating the polariton dispersion relation for a homogeneous distribution of molecules in planar fabry-pérot cavities, our data highlight the importance of preserving the in-plane translational symmetry of the molecular distribution. in this homogeneous limit, cavmd yields the consistent polariton dispersion relation as analytic theory, i.e., incorporating many cavity modes with varying in-plane wave vectors ($k_{\parallel}$) produces the same spectrum as the system with a single cavity mode. furthermore, cavmd reveals that the validity of the single mode approximation is challenged when nonequilibrium polariton dynamics are considered, as polariton-polariton scattering occurs between modes with nearest neighbor $k_{\parallel}$. looking forward, our generalized cavmd approach may facilitate understanding vibrational polariton transport and condensation.",2024-03-18
"139",139,"rayleigh taylor instability in multiple finite-thickness fluid layers","prashant sharma","fluid dynamics (physics.flu-dyn)","we develop a general transfer-matrix formalism for determining the growth rate of the rayleigh-taylor instability in a fluid system with spatially varying density and viscosity. we use this formalism to analytically and numerically treat the case of a stratified heterogeneous fluid. we introduce the inviscid-flow approximation in our transfer-matrix formalism to find analytic solutions in the limit of uniform kinematic viscosity for a stratified heterogeneous fluid. we discuss the applicability of these results and the no-acceleration approximation that also yields analytical solutions in the large viscosity limit.",2024-03-18
"140",140,"empirical analysis on ci/cd pipeline evolution in machine learning projects","alaa houerbi, chadha siala, alexis tucker, dhia elhaq rzig, foyzul hassan","software engineering (cs.se)","the growing popularity of machine learning (ml) and the integration of ml components with other software artifacts has led to the use of continuous integration and delivery (ci/cd) tools, such as travis ci, github actions, etc. that enable faster integration and testing for ml projects. such ci/cd configurations and services require synchronization during the life cycle of the projects. several works discussed how ci/cd configuration and services change during their usage in traditional software systems. however, there is very limited knowledge of how ci/cd configuration and services change in ml projects.
to fill this knowledge gap, this work presents the first empirical analysis of how ci/cd configuration evolves for ml software systems. we manually analyzed  commits collected from  open-source ml projects to identify common ci/cd configuration change categories in ml projects and devised a taxonomy of  co-changes in ci/cd and ml components. moreover, we developed a ci/cd configuration change clustering tool that identified frequent ci/cd configuration change patterns in , commits. furthermore, we measured the expertise of ml developers who modify ci/cd configurations. based on this analysis, we found that .% of commits include a change to the build policy and minimal changes related to performance and maintainability compared to general open-source projects. additionally, the co-evolution analysis identified that ci/cd configurations, in many cases, changed unnecessarily due to bad practices such as the direct inclusion of dependencies and a lack of usage of standardized testing frameworks. more practices were found through the change patterns analysis consisting of using deprecated settings and reliance on a generic build language. finally, our developer's expertise analysis suggests that experienced developers are more inclined to modify ci/cd configurations.",2024-03-18
"141",141,"fast flavor conversions at the edge of instability","damiano f. g. fiorillo, georg raffelt","high energy physics - phenomenology (hep-ph)","a dense neutrino gas exhibiting angular crossings in the electron lepton number is unstable and develops fast flavor conversions. instead of assuming an unstable configuration from the onset, we imagine that the system is externally driven toward instability. we use the simplest model of two neutrino beams initially of different flavor that either suddenly appear or one or both slowly build up. flavor conversions commence well before the putative unstable state is fully attained, and the final outcome depends on how the system is driven. our results suggest that in an astrophysical setting, one should focus less on flavor instabilities in the neutrino radiation field and more on the external dynamics that leads to the formation of the unstable state.",2024-03-18
"142",142,"recovery of hades drift chambers suffering from malter-like effects","christian wendisch, christian muentz, luis lopes, erwin schwab, joachim stroth","instrumentation and detectors (physics.ins-det)","the central tracking system of the hades detector, installed at the sis- synchrotron at gsi/darmstadt (germany), employs large-area, low-mass drift chambers, featuring aluminum potential wires and small cell sizes. the chambers in front of the magnetic field, closest to the interaction point, have developed significant self-sustained currents and discharges during operation, most probably triggered by isobutane-based gas mixtures. only both, (i) replacing isobutane by co and (ii) adding  to  ppmv of water into the ar/co counting gas mixture, individually optimized for a given chamber, allowed to recover the chambers, enabling stable operation in several production runs since then, e.g. with high-intensity heavy-ion induced reactions. the origin of the instability was found to be deposits on the cathode wires, provoking the malter-like effects, by visual inspection and energy-dispersive x-ray spectroscopy. the charge on the wires accumulated during their lifetime does not point to so-called classical aging, but presumably the interaction of isobutane with materials in the gas flow, residual impurities, and reaction products formed in plasma, e.g., built by discharges.",2024-03-18
